CITY,COLOR,POPULATION,STATE-RANK,STATE,AVG. RANK,OVERALL RANK,GOOGLE SEARCH VOLUME,WEIGHTED BY POPULATION,RANK FOR GSV,GOOGLE TREND,RANK FOR GSV INCREASE,MOST SEARCHED MONTH,AVG. PRECIPITATION (MM),RANK FOR PRECIPITATION,ANNUAL MAX TEMPERATURE ,RANK FOR TEMPERATURE,MEDIAN YEAR BUILT,RANK FOR YEAR BUILT,POPULATION DENSITY / sq mi,RANK FOR POPULATION DENSITY
Anaheim,#f6b26b,"346,824",3,California,99.17,79,450,129.75,112,-15.00%,157,December,230.00,202,25.00,66,1969,30,"6,899.00",28
Fremont,#f6b26b,"230,504",3,California,99.33,80,340,147.50,93,43.00%,68,February,353.00,185,21.00,111,1968,20,"2,943.00",119
Baltimore,#f6b26b,"585,708",20,Maryland,99.50,81,560,95.61,159,-15.00%,158,April,"1,254.00",62,19.00,128,1978,68,"7,235.00",22
Santa Rosa,#f6b26b,"178,127",3,California,99.67,82,240,134.74,105,25.00%,88,August,713.00,161,22.00,97,1980,79,"4,188.00",68
East Hartford,#f6b26b,"51,045",39,Connecticut,99.67,83,80,156.72,89,0.00%,122,March,"1,248.00",65,16.00,175,1968,25,"2,837.00",122
Chesapeake,#f6b26b,"249,422",8,Virginia,100.50,84,290,116.27,126,150.00%,27,May,"1,295.00",46,22.00,87,1984,104,736.00,213
Flint,#f6b26b,"81,252",11,Michigan,100.83,85,160,196.92,52,500.00%,1,March,880.00,155,14.00,211,1971,43,"2,384.00",143
Fresno,#f6b26b,"542,107",3,California,101.50,86,430,79.32,181,180.00%,23,November,255.00,198,26.00,46,1985,108,"4,722.00",53
Lancaster,#f6b26b,"58,039",9,Pennsylvania,101.67,87,110,189.53,59,-60.00%,201,February,"1,149.00",101,17.00,160,1978,71,"8,031.00",18
Myrtle Beach,#f6b26b,"35,682",18,South Carolina,101.67,88,240,672.61,2,60.00%,58,November,"1,232.00",71,23.00,76,2003,215,"1,523.00",188
Daytona Beach,#f6b26b,"72,647",2,Florida,101.67,89,120,165.18,78,50.00%,62,March,"1,218.00",78,27.00,25,1990,157,"1,107.00",210
Eugene,#f6b26b,"176,654",22,Oregon,102.17,90,170,96.23,157,200.00%,19,October,"1,043.00",126,17.00,166,1978,72,"3,995.00",73
Titusville,#f6b26b,"48,789",2,Florida,102.50,91,150,307.45,17,-57.00%,197,January,"1,288.00",49,27.00,22,1988,147,"1,669.00",183
San Marcos,#f6b26b,"67,553",1,Texas,103.17,92,230,340.47,9,67.00%,52,February,905.00,153,27.00,28,2003,213,"2,034.00",164
Dayton,#f6b26b,"137,644",6,Ohio,103.67,93,230,167.10,76,0.00%,123,August,"1,102.00",110,18.00,141,1971,39,"2,466.00",133
Minneapolis,#f6b26b,"429,954",31,Minnesota,104.33,94,570,132.57,108,125.00%,32,July,853.00,156,13.00,214,1982,97,"7,962.00",19
Los Angeles,#f6b26b,"3,898,747",3,California,104.67,95,1050,26.93,211,44.00%,65,November,235.00,200,22.00,103,1969,32,"8,205.00",17
Buffalo,#f6b26b,"278,349",4,New York,105.00,96,290,104.19,144,0.00%,124,May,"1,070.00",118,13.00,213,1957,2,"6,893.00",29
Cincinnati,#f6b26b,"309,317",6,Ohio,105.33,97,400,129.32,113,-14.00%,156,June,"1,201.00",86,18.00,139,1977,62,"3,970.00",76
Asheville,#f6b26b,"94,067",14,North Carolina,105.33,98,180,191.35,56,400.00%,4,May,"1,053.00",124,20.00,121,1991,166,"2,080.00",161
